dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,3,0.03,0.3,0.01,0.01,0.03,0.0,100,1,14.576723039227597,3.0309402622458337
2,0,0.1,0.03,0.01,0.01,0.03,0.0,100,1,12.77295030098095,2.647587339304471
2,0,0.01,0.1,0.1,0.01,0.3,0.0,100,1,16.397320457212896,3.2431537189291264
2,4,0.01,0.3,0.01,0.01,0.3,0.0,100,1,16.50129497423806,3.3001922691327077
2,2,0.03,0.3,0.1,0.01,0.03,0.0,100,1,16.58423897312729,3.1410518937809826
2,2,0.03,0.1,0.1,0.01,0.03,2.760996108149298e-05,74,0.43659594202218066,15.636799805757295,3.375939844032147
2,0,0.01,0.01,0.01,0.01,0.1,0.0004530704019316489,19,0.8231367710648709,14.196729727338376,3.163142250897925
2,2,0.03,0.03,0.01,0.01,0.03,0.0,100,1,16.087631027659853,2.9502598262451674
2,4,0.01,0.3,0.1,0.01,0.3,0.0,100,1,14.068124773176644,3.057643701465058
2,4,0.1,0.01,0.1,0.01,0.01,2.7374973372612694,2,0.0037221567241746967,0.2764701432499215,0.1382350716249607
2,0,0.01,0.03,0.01,0.01,0.3,0.0,100,1,14.243641083776716,3.0138690784282156
2,3,0.03,0.1,0.01,0.01,0.03,0.0,100,1,13.374453574314451,3.2117492102548058
2,4,0.1,0.03,0.1,0.01,0.01,0.576575436351299,5,0.059045418653960485,0.662096245933294,0.22723828790767947
2,2,0.01,0.1,0.01,0.01,0.3,0.0,100,1,17.805788948830127,3.376201304003718
2,1,0.03,0.01,0.1,0.01,0.1,3.5798806522010933,2,0.01318636034686152,0.5172017408574029,0.25860087042870145
2,1,0.01,0.03,0.1,0.01,0.1,1.8884044167583833,3,0.11220363340288643,3.5123207044969655,1.455275375321508
2,4,0.03,0.3,0.01,0.01,0.03,0.0,100,1,18.320549403744103,3.2581682080340952
2,0,0.01,0.3,0.01,0.03,0.01,0.0,100,1,14.914313410081867,3.1152921027311393
2,1,0.01,0.1,0.1,0.01,0.3,0.0,100,1,15.78039536729959,3.2908078795778337
2,0,0.03,0.03,0.1,0.01,0.03,1.1520859268768213,3,0.09511058479945389,1.7370050024891992,0.7154086579118613
2,1,0.01,0.01,0.1,0.01,0.1,5.4727158287488455,2,0.024233406855596912,1.8807864822166205,0.9403932411083102
2,4,0.1,0.01,0.01,0.01,0.01,0.027254857301787776,5,0.2070066824167675,0.7339395881028076,0.2638118114806534
2,3,0.03,0.1,0.1,0.01,0.03,0.0,100,1,14.237852337147299,3.100955521710503
2,3,0.03,0.3,0.1,0.01,0.03,0.0,100,1,15.367248456722105,3.164015598330426
2,0,0.01,0.3,0.1,0.03,0.01,5.995708041961672e-08,99,0.0,16.433711307253496,3.1083803641205603
