run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,0.03,0.01,0.01,0.01,0.03,0.24647901222857074,3,0.16696609560920783,2.4080463707316224,1.0254762021570762
3,0.03,0.1,0.01,0.01,0.03,1.2804947664169608e-07,82,0.8311646728461028,14.146880614124086,3.0874676306736055
2,0.01,0.01,0.1,0.01,0.03,12.300405792155507,2,0.008021160030776991,2.910329958629445,1.4551649793147226
2,0.01,0.03,0.1,0.01,0.03,9.288884223064036,2,0.0387027836408686,3.2293491725212546,1.6146745862606273
0,0.1,0.03,0.1,0.01,0.03,3.648075313857087,3,0.012753046087268467,0.12990234149694196,0.05935394645028029
1,0.1,0.1,0.01,0.01,0.03,2.0738665457495532e-07,69,0.9179768464593623,14.23380505785654,2.9510131518352822
2,0.03,0.03,0.01,0.01,0.03,3.357684116077788e-07,67,0.831570705676226,12.527246802548845,3.108011528032069
0,0.1,0.03,0.01,0.01,0.03,6.545176999882975e-06,50,0.10340416478379472,11.968713008930852,2.362237821387313
2,0.1,0.3,0.01,0.01,0.03,5.037138558615803e-07,81,0.9077986767388472,17.250075462004443,3.3436351360189662
4,0.01,0.1,0.01,0.01,0.03,1.0974978338624397e-07,86,0.784073075601672,20.176037397998776,3.354844561244456
4,0.03,0.3,0.1,0.01,0.03,1.2745003475350723e-06,78,0.5685797135464116,15.785410235880072,3.73656890017833
2,0.01,0.01,0.01,0.01,0.03,0.2678473441504357,3,0.1810346173304999,5.028896395430261,2.162539039781363
2,0.01,0.1,0.1,0.01,0.03,0.15092925942685714,3,0.19940359086306558,5.053858228078736,2.139915919060053
2,0.03,0.03,0.1,0.01,0.03,6.102912046708611,2,0.028818298316981128,1.2398747833444324,0.6199373916722162
0,0.1,0.01,0.1,0.01,0.03,5.003491746012379,1,2.6645352591003757e-15,0.0,0.0
0,0.1,0.1,0.1,0.01,0.03,0.10830341667364096,3,0.2565550027055613,3.5628557774681,1.464994473700268
4,0.01,0.3,0.1,0.01,0.03,2.1414698135980987e-06,78,0.7291738535058953,14.10867427912652,3.386499030419189
2,0.03,0.01,0.1,0.01,0.03,8.557920701947452,2,0.005515705800654885,1.0668819034160006,0.5334409517080003
0,0.03,0.3,0.01,0.01,0.1,2.119295041548078e-07,86,0.8275931970969123,13.548352864073776,2.959155714024544
3,0.1,0.01,0.01,0.01,0.03,0.2903145146637081,4,0.07326043793788983,0.5590278354904786,0.19810532498874137
2,0.1,0.3,0.1,0.01,0.03,2.348880944916201e-06,72,0.8247151077324314,14.397393712342375,3.22824834583235
1,0.3,0.01,0.1,0.01,0.03,3.051598403386733,1,-1.3322676295501878e-15,0.0,0.0
0,0.01,0.3,0.01,0.01,0.1,2.596696817042701e-07,83,0.9031727545735305,14.132823195174154,3.112684659985033
1,0.3,0.03,0.01,0.01,0.03,0.00211533178370421,8,0.485974945183423,4.462776659126261,1.364625211497239
1,0.3,0.01,0.01,0.01,0.03,0.36452955716951413,5,0.03748100350551385,0.0749838095839847,0.0281250180293225
2,0.1,0.1,0.01,0.01,0.03,1.5208799360273311e-07,79,0.855045658233943,15.324084646867506,3.2462864314218187
4,0.03,0.1,0.01,0.01,0.03,5.167844181235138e-08,88,0.8576295610727857,16.303085779092754,3.5393565579972974
3,0.03,0.1,0.1,0.01,0.03,0.1416267681788912,4,0.21738289120856155,5.664623398304627,2.006875108052446
1,0.1,0.03,0.1,0.01,0.03,3.500660031646341,2,0.01422423148129967,0.0468684337854819,0.02343421689274095
