run,c,h,a,theta_h,theta_a,avg_edw,num_com,mod,avg_com,sd_com
4,0.3,0.3,0.1,0.01,0.01,2.206260973886373e-06,74,0.7599465823927096,15.082390335457678,102.26575363900102
3,0.1,0.01,0.01,0.01,0.01,0.31246729463643025,4,0.05789357338500781,0.3461398362103221,0.030457323818134218
0,0.1,0.3,0.01,0.01,0.03,4.097126673269895e-06,57,0.8691621792952816,16.205183196500116,105.42255489086507
4,0.3,0.01,0.1,0.01,0.01,3.3567237165189314,1,8.881784197001252e-16,0.0,0.0
4,0.01,0.1,0.1,0.01,0.01,0.22584301698605175,2,0.23093302946541494,5.560420039736066,10.93125954980116
4,0.03,0.01,0.01,0.01,0.01,0.2602937520927613,2,0.16921712942497358,1.7404573482130408,1.0709810249117149
0,0.01,0.3,0.01,0.01,0.03,4.39958636221414e-06,52,0.9014937173631978,16.164798858117734,125.00755313889366
4,0.3,0.03,0.1,0.01,0.01,2.3963359794485157,2,0.0035986007146850407,0.11198073118645269,0.004433447850694697
4,0.03,0.3,0.1,0.01,0.01,5.7255063205691355e-06,58,0.7658786159417397,17.759061956472472,111.1236053400233
4,0.01,0.03,0.01,0.01,0.01,4.167337847922204e-07,62,0.8300498047966766,16.57606764458214,115.69212878473991
4,0.3,0.01,0.01,0.01,0.01,0.3754101166277077,5,0.034093080887582644,0.09116863020114602,0.0026988163236485625
4,0.1,0.03,0.1,0.01,0.01,3.7202176219923913,2,0.01447412276184104,0.1610209410755189,0.009166841612428802
4,0.03,0.1,0.1,0.01,0.01,0.20884039274349617,3,0.21707819559280878,4.742949311963967,6.5667539327572255
4,0.1,0.1,0.1,0.01,0.01,0.1752110785872957,2,0.19183232347500662,2.453125748854496,2.12762276497859
0,0.03,0.3,0.01,0.01,0.03,3.1865440288140206e-06,58,0.8946742555198867,15.96829856239746,117.71570632980594
0,0.3,0.3,0.01,0.01,0.03,3.009411783891482e-06,60,0.9236818155464335,20.346524533771316,123.27225985006179
4,0.3,0.03,0.01,0.01,0.01,0.003269335107849788,8,0.4494545602329664,2.3886025482155016,1.480646798426374
4,0.03,0.03,0.01,0.01,0.01,8.211082555195637e-06,58,0.10753292389031388,12.065428895192074,66.72621534286954
0,0.01,0.3,0.1,0.01,0.03,1.6226970192047015e-05,40,0.876710318035436,15.598821907963888,115.24429411813115
0,0.1,0.1,0.01,0.01,0.03,1.8194825243965093e-06,55,0.9088422661887502,12.212891659613266,86.37175461039944
4,0.01,0.03,0.1,0.01,0.01,9.528041380239038,3,0.04270287809499927,3.7650580743372197,4.253622651898932
4,0.1,0.03,0.01,0.01,0.01,1.2331740146907589e-05,48,0.12224908064940067,12.86704516392095,53.9417657300485
